Module                  Size  Used by
vhost_vsock            24576  0
vmw_vsock_virtio_transport_common    57344  1 vhost_vsock
vsock                  69632  2 vmw_vsock_virtio_transport_common,vhost_vsock
vhost_net              36864  0
vhost                  69632  2 vhost_vsock,vhost_net
vhost_iotlb            20480  1 vhost
vfio_pci               20480  0
vfio_pci_core          98304  1 vfio_pci
vfio_iommu_type1       53248  0
vfio                   77824  3 vfio_pci_core,vfio_iommu_type1,vfio_pci
iommufd               147456  1 vfio
zram                   69632  0
842_decompress         16384  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
8021q                  53248  0
ipvlan                 49152  0
vxlan                 159744  0
overlay               249856  0
wireguard             122880  0
libcurve25519          65536  1 wireguard
libchacha20poly1305    20480  1 wireguard
libchacha              24576  1 libchacha20poly1305
ip6_udp_tunnel         16384  2 wireguard,vxlan
udp_tunnel             36864  2 wireguard,vxlan
libpoly1305            32768  1 libchacha20poly1305
uas                    36864  0
usb_storage            94208  1 uas
nft_masq               12288  1
udp_diag               12288  0
tcp_diag               20480  0
inet_diag              24576  2 tcp_diag,udp_diag
xt_nat                 12288  0
nft_nat                12288  2
nft_chain_nat          12288  3
nf_nat                 61440  4 nft_nat,xt_nat,nft_masq,nft_chain_nat
qnap8528               90112  0
nft_ct                 32768  3
nft_fib_inet           12288  1
nft_fib_ipv4           12288  1 nft_fib_inet
nft_fib_ipv6           12288  1 nft_fib_inet
nft_fib                12288  3 nft_fib_ipv6,nft_fib_ipv4,nft_fib_inet
snd_soc_dmic           12288  0
snd_hda_intel          69632  0
snd_hda_codec_intelhdmi    28672  0
af_packet              69632  12
veth                   40960  0
snd_sof_pci_intel_icl    16384  0
snd_sof_pci_intel_cnl    20480  1 snd_sof_pci_intel_icl
snd_sof_intel_hda_generic    40960  2 snd_sof_pci_intel_icl,snd_sof_pci_intel_cnl
soundwire_intel        94208  1 snd_sof_intel_hda_generic
snd_sof_intel_hda_sdw_bpt    24576  1 soundwire_intel
snd_sof_intel_hda_common   204800  4 snd_sof_intel_hda_sdw_bpt,snd_sof_pci_intel_icl,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    36864  4 snd_sof_intel_hda_sdw_bpt,soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      20480  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_hda_codec_hdmi     61440  1 snd_hda_codec_intelhdmi
soundwire_cadence      57344  1 soundwire_intel
snd_sof_pci            24576  3 snd_sof_pci_intel_icl,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_generic
snd_sof               499712  7 snd_sof_intel_hda_sdw_bpt,snd_sof_pci,snd_sof_pci_intel_icl,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_cnl
snd_sof_utils          16384  1 snd_sof
snd_soc_acpi_intel_match   143360  3 snd_sof_pci_intel_icl,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
soundwire_generic_allocation    20480  1 soundwire_intel
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
soundwire_bus        1208320  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
crc32c_cryptoapi       12288  1
snd_soc_sdca          102400  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
hid                   286720  1 snd_soc_sdca
crc8                   12288  1 soundwire_cadence
i915                 4853760  1
snd_soc_avs           270336  0
snd_soc_hda_codec      28672  1 snd_soc_avs
snd_hda_ext_core       36864  7 snd_sof_intel_hda_sdw_bpt,snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_hda_codec         217088  7 snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_soc_hdac_hda,snd_sof_intel_hda,snd_hda_codec_intelhdmi
snd_hda_core          147456  10 snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_hda_codec_intelhdmi
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
snd_hwdep              24576  1 snd_hda_codec
snd_soc_core          442368  8 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_dmic
ofpart                 16384  0
cmdlinepart            16384  0
ee1004                 16384  0
spi_nor               180224  0
snd_compress           36864  2 snd_soc_avs,snd_soc_core
ac97_bus               12288  1 snd_soc_core
mtd                   114688  4 spi_nor,cmdlinepart,ofpart
mei_pxp                20480  0
mei_hdcp               28672  0
snd_pcm_dmaengine      20480  1 snd_soc_core
intel_rapl_msr         20480  0
nfsd                 1073152  5
nls_iso8859_1          12288  1
snd_pcm               200704  14 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
nls_cp437              16384  1
x86_pkg_temp_thermal    16384  0
intel_powerclamp       20480  0
processor_thermal_device_pci_legacy    12288  0
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
vfat                   28672  1
snd_timer              57344  1 snd_pcm
evdev                  32768  3
auth_rpcgss           200704  1 nfsd
drm_buddy              12288  1 i915
processor_thermal_wt_hint    12288  1 processor_thermal_device
mac_hid                16384  0
wmi_bmof               12288  0
coretemp               24576  0
nfs_acl                12288  1 nfsd
ttm                   126976  1 i915
platform_temperature_control    16384  1 processor_thermal_device
snd                   159744  10 snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_compress,snd_soc_core,snd_pcm
fat                   114688  1 vfat
ghash_clmulni_intel    12288  0
processor_thermal_soc_slider    16384  1 processor_thermal_device
aesni_intel            98304  0
lockd                 196608  1 nfsd
i2c_i801               40960  0
igc                   217088  0
platform_profile       24576  1 processor_thermal_soc_slider
grace                  12288  2 nfsd,lockd
drm_display_helper    319488  1 i915
intel_cstate           20480  0
ptp                    57344  1 igc
nfs_localio            40960  1 nfsd
spi_intel_pci          12288  0
wdat_wdt               20480  0
cfg80211             1449984  0
rtc_cmos               28672  1
cec                    77824  2 drm_display_helper,i915
i2c_smbus              20480  1 i2c_i801
soundcore              20480  1 snd
processor_thermal_rfim    28672  1 processor_thermal_device
intel_gtt              32768  1 i915
spi_intel              36864  1 spi_intel_pci
pps_core               32768  1 ptp
rfkill                 45056  2 cfg80211
i2c_mux                20480  1 i2c_i801
sunrpc                897024  17 nfs_localio,nfsd,auth_rpcgss,lockd,nfs_acl
processor_thermal_rapl    16384  1 processor_thermal_device
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
btrfs                2265088  1
processor_thermal_wt_req    12288  1 processor_thermal_device
processor_thermal_power_floor    12288  1 processor_thermal_device
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
mei_me                 57344  2
int340x_thermal_zone    16384  1 processor_thermal_device
mei                   208896  5 mei_hdcp,mei_pxp,mei_me
i2c_algo_bit           24576  1 i915
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
thermal                28672  0
blake2b_generic        20480  0
xor                    24576  1 btrfs
fan                    28672  0
ov13858                24576  0
v4l2_fwnode            36864  1 ov13858
intel_oc_wdt           12288  0
v4l2_async             32768  2 v4l2_fwnode,ov13858
raid6_pq              126976  1 btrfs
watchdog               49152  2 intel_oc_wdt,wdat_wdt
videodev              405504  3 v4l2_async,v4l2_fwnode,ov13858
video                  81920  1 i915
mc                     90112  3 v4l2_async,videodev,ov13858
wmi                    36864  2 video,wmi_bmof
intel_pmc_core        159744  0
tiny_power_button      12288  0
pmt_telemetry          20480  1 intel_pmc_core
pmt_discovery          16384  1 pmt_telemetry
acpi_tad               20480  0
pinctrl_jasperlake     20480  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
intel_vsec             28672  2 intel_pmc_ssram_telemetry,pmt_telemetry
button                 28672  0
acpi_pad               24576  0
xt_conntrack           12288  2
nf_conntrack          196608  6 xt_conntrack,nf_nat,nft_ct,nft_nat,xt_nat,nft_masq
nf_defrag_ipv6         24576  1 nf_conntrack
